x,y,Mean
93.5,24.75,1464.58288
93.75,24.75,1349.181453
94,24.75,1306.504308
93,25,1829.299314
93.25,25,1516.625023
93.5,25,1462.382524
93.75,25,1408.140024
94,25,1363.445381
94.25,25,1318.750737
94.5,25,1289.402879
92.75,25.25,2191.728605
93,25.25,1822.497172
93.25,25.25,1453.265739
93.5,25.25,1460.182167
93.75,25.25,1467.098595
94,25.25,1420.386453
94.25,25.25,1373.674311
94.5,25.25,1343.037168
92.5,25.5,2391.938612
92.75,25.5,2001.410748
93,25.5,1741.748601
93.25,25.5,1482.086454
93.5,25.5,1452.483952
93.75,25.5,1422.881451
94,25.5,1404.246809
94.25,25.5,1385.612167
94.5,25.5,1352.177167
94.75,25.5,1318.742167
89.75,25.75,1808.028602
90,25.75,1905.962178
92.25,25.75,2430.610042
92.5,25.75,2120.851466
92.75,25.75,1811.092891
93,25.75,1661.00003
93.25,25.75,1510.907169
93.5,25.75,1444.785738
93.75,25.75,1378.664307
94,25.75,1388.107165
94.25,25.75,1397.550023
94.5,25.75,1361.317166
94.75,25.75,1325.084309
95,25.75,1305.889309
89.25,26,1923.487891
89.5,26,1913.381104
89.75,26,1903.274316
90,26,1924.908249
90.25,26,1946.542181
90.5,26,2003.270037
90.75,26,2059.997892
91,26,2146.581109
91.25,26,2233.164327
91.5,26,2247.637182
91.75,26,2262.110038
92,26,2151.429679
92.25,26,2040.74932
92.5,26,1870.612889
92.75,26,1700.476459
93,26,1599.865027
93.25,26,1499.253596
93.5,26,1449.41038
93.75,26,1399.567165
94,26,1398.745379
94.25,26,1397.923593
94.5,26,1370.43895
94.75,26,1342.954307
95,26,1306.579664
89,26.25,2082.47003
89.25,26.25,2115.700035
89.5,26.25,2057.110033
89.75,26.25,1998.520031
90,26.25,1943.85432
90.25,26.25,1889.188609
90.5,26.25,1860.977177
90.75,26.25,1832.765746
91,26.25,1783.81789
91.25,26.25,1734.870035
91.5,26.25,1684.337174
91.75,26.25,1633.804312
92,26.25,1642.346455
92.25,26.25,1650.888598
92.5,26.25,1620.374312
92.75,26.25,1589.860027
93,26.25,1538.730024
93.25,26.25,1487.600022
93.5,26.25,1454.035023
93.75,26.25,1420.470023
94,26.25,1409.383593
94.25,26.25,1398.297163
94.5,26.25,1379.560734
94.75,26.25,1360.824304
95,26.25,1307.27002
88.75,26.5,2084.079317
89,26.5,2103.14789
89.25,26.5,2122.216462
89.5,26.5,2072.857534
89.75,26.5,2023.498605
90,26.5,1963.455035
90.25,26.5,1903.411464
90.5,26.5,1872.652534
90.75,26.5,1841.893604
91,26.5,1788.801462
91.25,26.5,1735.709319
91.5,26.5,1689.843244
91.75,26.5,1643.977168
92,26.5,1616.452525
92.25,26.5,1588.927882
92.5,26.5,1554.393954
92.75,26.5,1519.860026
93,26.5,1489.537167
93.25,26.5,1459.214308
93.5,26.5,1440.638237
93.75,26.5,1422.062166
94,26.5,1420.277523
94.25,26.5,1418.492881
94.5,26.5,1408.605379
94.75,26.5,1398.717878
95,26.5,1327.871449
95.25,26.5,1257.02502
88.25,26.75,1935.778602
88.5,26.75,2027.348605
88.75,26.75,2118.918609
89,26.75,2123.825749
89.25,26.75,2128.73289
