x,y,Mean,,
94.5,27.5,2064.766774,,
94.75,27.5,2110.139167,,
95,27.5,2098.340036,,
95.25,27.5,2086.540904,,
95.5,27.5,2023.618296,,
95.75,27.5,1960.695687,,
96,27.5,1891.828077,,
96.25,27.5,1822.960466,,
96.5,27.5,1607.828724,,
96.75,27.5,1392.696981,,
97,27.5,1424.369374,,
88.25,27.75,1158.553064,,
88.5,27.75,1249.620456,,
88.75,27.75,1340.687848,,
91.75,27.75,1571.299157,,
92,27.75,1429.260458,,
92.25,27.75,1287.22176,,
92.5,27.75,1398.649152,,
92.75,27.75,1510.076545,,
93,27.75,1613.773504,,
93.25,27.75,1717.470464,,
93.5,27.75,1775.279596,,
93.75,27.75,1833.088728,,
94,27.75,1860.610466,,
94.25,27.75,1888.132204,,
94.5,27.75,1947.811772,,
94.75,27.75,2007.49134,,
95,27.75,2023.555252,,
95.25,27.75,2039.619165,,
95.5,27.75,1989.986991,,
95.75,27.75,1940.354816,,
96,27.75,1863.327423,,
96.25,27.75,1786.30003,,
96.5,27.75,1499.378721,,
96.75,27.75,1212.457412,,
97,27.75,1294.268285,,
97.25,27.75,1376.079157,,
88.25,28,1150.077846,,
88.5,28,1181.582846,,
88.75,28,1213.087846,,
92.75,28,1229.545237,,
93,28,1363.97937,,
93.25,28,1498.413503,,
93.5,28,1557.885679,,
93.75,28,1617.357855,,
94,28,1652.978942,,
94.25,28,1688.600029,,
94.5,28,1774.044814,,
94.75,28,1859.489599,,
95,28,1839.596337,,
95.25,28,1819.703075,,
95.5,28,1798.303944,,
95.75,28,1776.904813,,
96,28,1659.466332,,
96.25,28,1542.027851,,
96.5,28,1347.471544,,
96.75,28,1152.915238,,
97,28,1156.39589,,
97.25,28,1159.876543,,
92.75,28.25,949.0139297,,
93,28.25,1114.185236,,
93.25,28.25,1279.356542,,
93.5,28.25,1340.491762,,
93.75,28.25,1401.626983,,
94,28.25,1445.347418,,
94.25,28.25,1489.067853,,
94.5,28.25,1600.277855,,
94.75,28.25,1711.487858,,
95,28.25,1655.637422,,
95.25,28.25,1599.786985,,
95.5,28.25,1606.620897,,
95.75,28.25,1613.454809,,
96,28.25,1455.605241,,
96.25,28.25,1297.755672,,
96.5,28.25,1195.564368,,
96.75,28.25,1093.373063,,
97,28.25,1018.523496,,
97.25,28.25,943.6739293,,
93.25,28.5,1053.393061,,
93.5,28.5,1101.225671,,
93.75,28.5,1149.058282,,
94,28.5,1203.530891,,
94.25,28.5,1258.003501,,
94.5,28.5,1405.239808,,
94.75,28.5,1552.476115,,
95,28.5,1472.466113,,
95.25,28.5,1392.456111,,
95.5,28.5,1387.733719,,
95.75,28.5,1383.011327,,
96,28.5,1261.131542,,
96.25,28.5,1139.251758,,
96.5,28.5,1061.190235,,
96.75,28.5,983.128713,,
93.75,28.75,896.4895807,,
94,28.75,961.7143648,,
94.25,28.75,1026.939149,,
94.5,28.75,1210.201761,,
94.75,28.75,1393.464373,,
95,28.75,1289.294805,,
95.25,28.75,1185.125236,,
95.5,28.75,1168.846541,,
95.75,28.75,1152.567845,,
96,28.75,1066.657844,,
96.25,28.75,980.7478431,,
96.5,28.75,926.816103,,
94.25,29,910.6956679,,
94.5,29,1007.721322,,
94.75,29,1104.746976,,
95,29,1095.311106,,
95.25,29,1085.875236,,
95.5,29,1055.8098,,
95.75,29,1025.744365,,
96,29,948.4106685,,
96.25,29,871.0769721,,
96.5,29,836.4680581,,
94.5,29.25,805.240883,,
94.75,29.25,816.029579,,
95,29.25,901.3274074,,
95.25,29.25,986.6252358,,
95.5,29.25,942.7730602,,
95.75,29.25,898.9208846,,
96,29.25,830.1634929,,
96.25,29.25,761.4061012,,
96.5,29.25,746.1200132,,
96,29.5,748.4180565,,
