x,y,Mean
93.5,24.75,2302.375038
93.75,24.75,2060.051466
94,24.75,1972.090748
93,25,2862.460047
93.25,25,2439.250755
93.5,25,2274.612181
93.75,25,2109.973608
94,25,2022.948963
94.25,25,1935.924318
94.5,25,1902.914318
92.75,25.25,3271.030053
93,25.25,2802.416476
93.25,25.25,2333.802899
93.5,25.25,2246.849324
93.75,25.25,2159.89575
94,25.25,2073.807178
94.25,25.25,1987.718606
94.5,25.25,1942.842892
92.5,25.5,3498.226845
92.75,25.5,3001.133622
93,25.5,2668.672546
93.25,25.5,2336.21147
93.5,25.5,2237.702181
93.75,25.5,2139.192892
94,25.5,2069.825034
94.25,25.5,2000.457177
94.5,25.5,1950.480391
94.75,25.5,1900.503606
89.75,25.75,2485.447186
90,25.75,2669.58362
92.25,25.75,3502.365774
92.5,25.75,3116.801483
92.75,25.75,2731.237192
93,25.75,2534.928617
93.25,25.75,2338.620041
93.5,25.75,2228.555038
93.75,25.75,2118.490035
94,25.75,2065.842891
94.25,25.75,2013.195748
94.5,25.75,1958.117891
94.75,25.75,1903.040034
95,25.75,1880.566461
89.25,26,2497.477186
89.5,26,2536.68433
89.75,26,2575.891473
90,26,2660.535048
90.25,26,2745.178624
90.5,26,2846.475052
90.75,26,2947.77148
91,26,3063.931483
91.25,26,3180.091486
91.5,26,3206.491128
91.75,26,3232.890769
92,26,3093.003624
92.25,26,2953.116479
92.5,26,2737.610404
92.75,26,2522.104329
93,26,2403.980041
93.25,26,2285.855753
93.5,26,2214.021822
93.75,26,2142.187892
94,26,2103.694677
94.25,26,2065.201462
94.5,26,2010.983246
94.75,26,1956.765031
95,26,1897.554317
89,26.25,2634.785754
89.25,26.25,2712.672902
89.5,26.25,2689.504331
89.75,26.25,2666.335759
90,26.25,2651.486477
90.25,26.25,2636.637194
90.5,26.25,2630.827905
90.75,26.25,2625.018617
91,26.25,2562.355046
91.25,26.25,2499.691476
91.5,26.25,2438.122186
91.75,26.25,2376.552897
92,26.25,2390.21004
92.25,26.25,2403.867184
92.5,26.25,2358.419325
92.75,26.25,2312.971466
93,26.25,2273.031465
93.25,26.25,2233.091464
93.5,26.25,2199.488607
93.75,26.25,2165.88575
94,26.25,2141.546463
94.25,26.25,2117.207175
94.5,26.25,2063.848602
94.75,26.25,2010.490028
95,26.25,1914.542173
88.75,26.5,2591.183611
89,26.5,2649.612542
89.25,26.5,2708.041473
89.5,26.5,2691.655046
89.75,26.5,2675.268619
90,26.5,2645.028619
90.25,26.5,2614.788619
90.5,26.5,2603.836118
90.75,26.5,2592.883618
91,26.5,2530.913617
91.25,26.5,2468.943616
91.5,26.5,2414.872184
91.75,26.5,2360.800752
92,26.5,2329.303967
92.25,26.5,2297.807182
92.5,26.5,2255.687538
92.75,26.5,2213.567895
93,26.5,2196.471464
93.25,26.5,2179.375034
93.5,26.5,2170.486821
93.75,26.5,2161.598607
94,26.5,2163.435036
94.25,26.5,2165.271465
94.5,26.5,2136.100748
94.75,26.5,2106.930032
95,26.5,1971.93396
95.25,26.5,1836.937888
88.25,26.75,2366.848609
88.5,26.75,2496.158613
88.75,26.75,2625.468617
89,26.75,2664.43933
89.25,26.75,2703.410043
89.5,26.75,2693.80576
89.75,26.75,2684.201478
90,26.75,2638.570761
90.25,26.75,2592.940044
90.5,26.75,2576.844331
90.75,26.75,2560.748619
91,26.75,2499.472187
91.25,26.75,2438.195756
91.5,26.75,2391.622182
91.75,26.75,2345.048608
92,26.75,2268.397894
92.25,26.75,2191.74718
92.5,26.75,2152.955751
92.75,26.75,2114.164323
93,26.75,2119.911464
93.25,26.75,2125.658604
93.5,26.75,2141.485035
93.75,26.75,2157.311465
94,26.75,2185.323609
