,V1,V2,,,
164,1408.590242,165.9395054,,,
165,1414.693067,171.1891829,,,
166,1364.134588,166.4614383,,,
167,1313.576108,163.0180885,,,
168,1291.06263,157.0055208,,,
169,1268.549152,152.1240021,,,
170,1274.255891,152.9457285,,,
171,1734.13525,256.6373324,,,
172,1698.463511,240.5887979,,,
173,1731.898727,236.0903509,,,
174,1765.333943,234.9661955,,,
175,1454.000458,179.2802807,,,
176,1385.553065,168.8913088,,,
177,1399.571761,166.321802,,,
178,1413.590457,164.7730375,,,
179,1381.443935,157.492322,,,
180,1349.297414,152.1390239,,,
181,1346.28437,150.2030692,,,
182,1343.271327,150.6029217,,,
183,1369.875241,156.4758452,,,
184,1396.479155,164.7176947,,,
185,1409.864806,171.2636864,,,
186,1423.250458,179.6426563,,,
187,1407.121763,178.4715441,,,
188,1390.993067,178.3888802,,,
189,1353.354372,170.1970367,,,
190,1315.715676,163.0495498,,,
191,1285.741328,158.4394103,,,
192,1255.766979,154.7571924,,,
193,1168.028717,141.2438762,,,
194,1080.290454,128.9500239,,,
195,1071.484367,127.1894427,,,
196,1354.362199,201.2232901,,,
197,1310.583068,186.5700063,,,
198,1367.141546,187.1699457,,,
199,1423.700024,190.0253977,,,
200,1360.83611,170.853067,,,
201,1276.378282,158.1429614,,,
202,1191.920454,146.3845334,,,
203,1230.104584,147.1483743,,,
204,1268.288715,148.9587351,,,
205,1276.69002,146.7447552,,,
206,1285.091326,146.219991,,,
207,1292.776544,145.3348805,,,
208,1300.461762,146.6961913,,,
209,1315.620674,151.1288827,,,
210,1330.779587,157.773897,,,
211,1349.054588,164.9284031,,,
212,1367.329588,173.4340304,,,
213,1363.064371,173.8604262,,,
214,1358.799154,174.9792034,,,
215,1327.695024,169.3735832,,,
216,1296.590893,164.6303737,,,
217,1261.097631,158.6744212,,,
218,1225.604369,153.5205331,,,
219,1091.674367,134.5613269,,,
220,957.7443645,116.6398543,,,
221,981.5398008,119.1110869,,,
222,922.7026251,135.3715133,,,
223,1002.384365,140.8126931,,,
224,1082.066104,147.7442031,,,
225,1199.224368,156.8351006,,,
226,1098.756105,141.2606764,,,
227,998.2878421,127.1650386,,,
228,1060.637408,131.8800084,,,
229,1122.986973,137.9413168,,,
230,1171.936106,140.0722938,,,
231,1220.885238,143.7226905,,,
232,1239.268717,143.3073775,,,
233,1257.652196,145.1408481,,,
234,1261.366108,147.6900729,,,
235,1265.08002,152.3649588,,,
236,1288.244369,159.5853428,,,
237,1311.408718,168.0404772,,,
238,1319.00698,170.1973551,,,
239,1326.605241,172.8264153,,,
240,1302.035676,169.4746096,,,
241,1277.46611,167.0311854,,,
242,1236.453935,159.7384527,,,
243,1195.441759,153.3272647,,,
244,1015.320017,128.8983553,,,
245,835.1982749,105.3649203,,,
246,891.5952343,112.2834445,,,
247,947.9921938,120.3392038,,,
248,929.4034942,139.2193286,,,
249,957.4126244,137.7108546,,,
250,985.4217547,138.6875868,,,
251,941.4265367,119.201528,,,
252,1016.179364,124.984162,,,
253,1090.932192,132.0474328,,,
254,1113.36741,132.1564264,,,
255,1135.802629,134.1862646,,,
256,1145.009585,136.2935242,,,
257,1154.216541,140.1896611,,,
258,1191.610455,147.9430698,,,
259,1229.00437,156.7365436,,,
260,1215.520674,156.5041893,,,
261,1202.036979,156.7153321,,,
262,1189.246543,155.7380377,,,
263,1176.456108,155.3452914,,,
264,1109.490018,145.2438674,,,
265,1042.523929,135.8698893,,,
266,920.2117543,119.3473394,,,
267,797.8995793,103.5974895,,,
268,801.7111018,104.0416508,,,
269,805.5226243,105.3607808,,,
270,759.8661002,101.772967,,,
271,860.4226229,111.1714185,,,
272,960.9791455,121.659835,,,
273,987.4661037,122.1858331,,,
274,1013.953062,124.3839946,,,
275,1028.653062,126.099478,,,
276,1043.353062,129.3388195,,,
277,1094.976542,137.7476583,,,
278,1146.600022,147.0917985,,,
279,1112.034369,144.3844207,,,
280,1077.468716,142.2401578,,,
281,1076.45741,143.4476098,,,
282,1075.446105,145.218342,,,
283,982.5261023,131.9287114,,,
284,889.6061,119.3332699,,,
285,825.1034919,110.5869108,,,
286,760.6008837,102.5337917,,,
287,711.8269692,96.50903176,,,
288,663.0530547,91.13715443,,,
289,813.0178392,105.4369041,,,
290,834.1152317,105.7008935,,,
291,855.2126241,107.26872,,,
