x,y,Mean
95.75,27.5,1252.664466
96,27.5,1218.164465
96.25,27.5,1183.664463
96.5,27.5,1054.468906
96.75,27.5,925.2733487
97,27.5,948.5183496
88.25,27.75,889.0466802
88.5,27.75,970.8500151
88.75,27.75,1052.65335
91.75,27.75,1184.520017
92,27.75,1082.93557
92.25,27.75,981.3511236
92.5,27.75,1041.716681
92.75,27.75,1102.082239
93,27.75,1146.988908
93.25,27.75,1191.895577
93.5,27.75,1206.751132
93.75,27.75,1221.606688
94,27.75,1223.227796
94.25,27.75,1224.848904
94.5,27.75,1245.815575
94.75,27.75,1266.782246
95,27.75,1273.398913
95.25,27.75,1280.01558
95.5,27.75,1256.321135
95.75,27.75,1232.626691
96,27.75,1192.463354
96.25,27.75,1152.300017
96.5,27.75,978.3077929
96.75,27.75,804.3155685
97,27.75,859.1122384
97.25,27.75,913.9089083
88.25,28,899.1500142
88.5,28,928.859459
88.75,28,958.5689039
92.75,28,924.3266807
93,28,995.0689046
93.25,28,1065.811128
93.5,28,1084.868352
93.75,28,1103.925575
94,28,1110.878908
94.25,28,1117.83224
94.5,28,1152.694465
94.75,28,1187.556689
95,28,1173.908355
95.25,28,1160.260021
95.5,28,1146.832243
95.75,28,1133.404464
96,28,1067.977795
96.25,28,1002.551125
96.5,28,884.5150132
96.75,28,766.4789012
97,28,770.4727912
97.25,28,774.4666813
92.75,28.25,746.5711225
93,28.25,843.1489013
93.25,28.25,939.7266802
93.5,28.25,962.9855714
93.75,28.25,986.2444626
94,28.25,998.5300197
94.25,28.25,1010.815577
94.5,28.25,1059.573354
94.75,28.25,1108.331131
95,28.25,1074.417797
95.25,28.25,1040.504463
95.5,28.25,1037.34335
95.75,28.25,1034.182238
96,28.25,943.4922358
96.25,28.25,852.8022334
96.5,28.25,790.7222336
96.75,28.25,728.6422338
97,28.25,681.8333441
97.25,28.25,635.0244544
93.25,28.5,794.9622341
93.5,28.5,813.6166801
93.75,28.5,832.2711262
94,28.5,854.712238
94.25,28.5,877.1533497
94.5,28.5,949.5100166
94.75,28.5,1021.866683
95,28.5,972.0422385
95.25,28.5,922.2177936
95.5,28.5,912.2989037
95.75,28.5,902.3800138
96,28.5,830.8089013
96.25,28.5,759.2377888
96.5,28.5,710.1083441
96.75,28.5,660.9788995
93.75,28.75,678.2977898
94,28.75,710.8944562
94.25,28.75,743.4911226
94.5,28.75,839.4466791
94.75,28.75,935.4022356
95,28.75,869.6666801
95.25,28.75,803.9311245
95.5,28.75,787.2544569
95.75,28.75,770.5777893
96,28.75,718.1255668
96.25,28.75,665.6733443
96.5,28.75,629.4944547
94.25,29,669.6800099
94.5,29,718.0361216
94.75,29,766.3922332
95,29,755.1677896
95.25,29,743.9433459
95.5,29,719.855012
95.75,29,695.7666782
96,29,646.6577885
96.25,29,597.5488988
96.5,29,572.7155647
