x,y,M1970,M2015,Mean,,,
95,26.5,1971.93396,1887.206145,84.727815,,,
95.25,26.5,1836.937888,1760.004476,76.933412,,,
88.25,26.75,2366.848609,2320.802262,46.046347,,,
88.5,26.75,2496.158613,2462.075596,34.083017,,,
88.75,26.75,2625.468617,2603.34893,22.119687,,,
89,26.75,2664.43933,2655.453375,8.985955,,,
89.25,26.75,2703.410043,2707.55782,-4.147777,,,
89.5,26.75,2693.80576,2695.88116,-2.0754,,,
89.75,26.75,2684.201478,2684.2045,-0.003022,,,
90,26.75,2638.570761,2642.701161,-4.1304,,,
90.25,26.75,2592.940044,2601.197822,-8.257778,,,
90.5,26.75,2576.844331,2574.826715,2.017616,,,
90.75,26.75,2560.748619,2548.455608,12.293011,,,
91,26.75,2499.472187,2484.942268,14.529919,,,
91.25,26.75,2438.195756,2421.428928,16.766828,,,
91.5,26.75,2391.622182,2372.460039,19.162143,,,
91.75,26.75,2345.048608,2323.49115,21.557458,,,
92,26.75,2268.397894,2241.587814,26.81008,,,
92.25,26.75,2191.74718,2159.684478,32.062702,,,
92.5,26.75,2152.955751,2114.982258,37.973493,,,
92.75,26.75,2114.164323,2070.280039,43.884284,,,
93,26.75,2119.911464,2068.750038,51.161426,,,
93.25,26.75,2125.658604,2067.220037,58.438567,,,
93.5,26.75,2141.485035,2076.052259,65.432776,,,
93.75,26.75,2157.311465,2084.884482,72.426983,,,
94,26.75,2185.323609,2105.445593,79.878016,,,
94.25,26.75,2213.335754,2126.006703,87.329051,,,
94.5,26.75,2208.352895,2115.280037,93.072858,,,
94.75,26.75,2203.370036,2104.553372,98.816664,,,
95,26.75,2029.325747,1938.031145,91.294602,,,
95.25,26.75,1855.281458,1771.508919,83.772539,,,
95.5,26.75,1839.087172,1757.357807,81.729365,,,
88,27,2199.426466,2145.575037,53.851429,,,
88.25,27,2246.337896,2205.342261,40.995635,,,
88.5,27,2336.070398,2303.521705,32.548693,,,
88.75,27,2425.8029,2401.70115,24.10175,,,
89,27,2381.431827,2367.723372,13.708455,,,
92,27,2134.695034,2117.888924,16.80611,,,
92.25,27,2051.700747,2029.828921,21.871826,,,
92.5,27,2061.112177,2033.592256,27.519921,,,
92.75,27,2070.523607,2037.35559,33.168017,,,
93,27,2059.122535,2017.492256,41.630279,,,
93.25,27,2047.721463,1997.628922,50.092541,,,
93.5,27,2068.780749,2010.532256,58.248493,,,
93.75,27,2089.840036,2023.43559,66.404446,,,
94,27,2144.165037,2068.055036,76.110001,,,
