"","V1","V2"
"1",2255.26786641709,318.597075581618
"2",2018.28699540457,272.889116093182
"3",1934.17525260623,246.348642579155
"4",2800.42591640083,407.62586665664
"5",2391.43612739522,339.524689909328
"6",2230.2452561172,303.61350728742
"7",2069.05438483918,269.34758965296
"8",1984.9682956922,245.603479466767
"9",1900.88220654522,223.714050076714
"10",1872.55698900391,209.216272156801
"11",3198.72701027562,463.588576689886
"12",2744.67526381822,388.447439565773
"13",2290.62351736083,316.283462304675
"14",2205.22264581731,290.986025917137
"15",2119.82177427379,267.840354115208
"16",2035.76133877816,246.552911129519
"17",1951.70090328254,226.764370907604
"18",1911.93351178092,210.621268343236
"19",3429.04440603912,484.35730971658
"20",2942.41439900026,405.820013051431
"21",2618.99243653331,352.9910835704
"22",2295.57047406636,301.88351356312
"23",2198.5982979675,278.833941713429
"24",2101.62612186865,256.869969751382
"25",2033.39220871093,239.145004705622
"26",1965.15829555321,222.958696403324
"27",1919.0454686786,207.88857037368
"28",1872.93264180399,194.73435975912
"29",2473.84700085119,313.207316249558
"30",2652.98352685337,333.724785682331
"31",3449.34353550336,461.665690682382
"32",3067.72266161413,405.675591132732
"33",2686.1017877249,351.518592376413
"34",2493.30960924839,319.797660879313
"35",2300.51743077189,289.058073491807
"36",2191.9739501177,268.245965198397
"37",2083.43046946351,248.412909273948
"38",2031.02307864369,234.140360012137
"39",1978.61568782388,221.772083584781
"40",1926.15742557629,207.473295625734
"41",1873.69916332869,195.243745512115
"42",1853.29524900188,188.71873200028
"43",2494.9678700943,300.146093284999
"44",2531.07526160477,301.248088526984
"45",2567.18265311524,308.464024543908
"46",2647.72591784368,318.857308114464
"47",2728.26918257213,333.196586118147
"48",2825.72635677849,346.442740645416
"49",2923.18353098485,362.588065294461
"50",3035.7165771941,380.309793753387
"51",3148.24962340334,400.402578558548
"52",3176.77092735895,397.419938323287
"53",3205.29223131456,399.164660948925
"54",3059.91070508325,382.26120785479
"55",2914.52917885194,369.001438048682
"56",2699.58982861766,336.992491232618
"57",2484.65047838338,306.245429510433
"58",2368.06308421553,286.334726072798
"59",2251.47569004767,267.559377311481
"60",2179.81894935953,253.837299612988
"61",2108.16220867138,241.239689620899
"62",2069.24981705852,230.829539287362
"63",2030.33742544567,222.103292392514
"64",1977.78068503801,210.72998505588
"65",1925.22394463035,200.893084133583
"66",1868.62633576549,191.597611420091
"67",2628.35960664185,306.095135572892
"68",2707.73308955904,313.830374997284
"69",2684.12569746916,307.579633033044
"70",2660.51830537928,307.21521980088
"71",2642.46830883399,307.174003722759
"72",2624.41831228869,311.132458164056
"73",2616.89787501479,309.440594904177
"74",2609.37743774089,310.544846529396
"75",2547.49961204947,303.172016888926
"76",2485.62178635805,298.015179682881
"77",2423.66873931758,285.814516199912
"78",2361.71569227712,275.615772604696
"79",2370.71525723882,277.163246543665
"80",2379.71482220052,280.465914147898
"81",2331.45699562119,271.383694801538
"82",2283.19916904186,263.39199132714
"83",2242.81655918266,255.007586965749
"84",2202.43394932345,248.007320975399
"85",2167.66394860136,241.187764955321
"86",2132.89394787926,235.774533690987
"87",2107.47655547336,229.548341092293
"88",2082.05916306746,225.08727503605
"89",2029.40394449973,216.731758065382
"90",1976.74872593199,209.823599472845
"91",1883.9574225291,197.39122794486
"92",2582.89960567352,303.972502120335
"93",2644.64134677378,302.313513276175
"94",2706.38308787404,304.991186622212
"95",2689.37178539271,297.780146126331
"96",2672.36048291138,295.956827927727
"97",2641.3276566106,292.791148324699
"98",2610.29483030983,293.518128620312
"99",2596.47635211073,292.354053826729
"100",2582.65787391164,294.295603743404
"101",2520.64308936426,286.043165003689
"102",2458.62830481688,279.73176673718
"103",2403.89634568499,270.569733651242
"104",2349.16438655309,262.813288769504
"105",2314.31112516403,258.274745902208
"106",2279.45786377496,254.903195431628
"107",2234.77677707755,247.440990571236
"108",2190.09569038013,240.940964297173
"109",2171.35416720872,236.122857493783
"110",2152.61264403731,232.587542614287
"111",2141.77242693179,229.189661891708
"112",2130.93220982626,227.382119445329
"113",2130.77177482411,226.305311841567
"114",2130.61133982196,226.954230976926
"115",2100.66851275792,223.207733287407
"116",2070.72568569387,220.977314816231
"117",1938.77959742595,205.404915833141
"118",1806.83350915802,191.657236192949
"119",2348.83047336262,296.434092556077
"120",2482.82178049249,300.658329057768
"121",2616.81308762237,308.791140577152
"122",2660.92308690571,302.579311805727
"123",2705.03308618904,301.598352743971
"124",2694.61787331626,293.945239383002
"125",2684.20266044347,291.745396733093
"126",2640.18700438722,283.941890648403
"127",2596.17134833096,281.091824585742
"128",2576.05482920667,279.14061184465
"129",2555.93831008239,281.426559346517
"130",2493.78656667905,272.457810816551
"131",2431.63482327571,265.623815230002
"132",2384.12395205239,259.041346160901
"133",2336.61308082906,253.769990564659
"134",2257.90699308923,243.25044527498
"135",2179.2009053494,233.78134075448
"136",2138.0965585339,227.365966694022
"137",2096.9922117184,221.997488835492
"138",2099.89177523479,220.19365607974
"139",2102.79133875117,219.659701810687
"140",2115.88090526222,219.706638214338
"141",2128.97047177326,221.594617014974
"142",2154.06699417486,225.522846165087
"143",2179.16351657646,231.448082425828
"144",2171.93308101611,232.014726301108
"145",2164.70264545575,234.348329639935
"146",1993.6017723228,215.456812689549
"147",1822.50089918984,198.484442569869
"148",1807.10611631443,192.436422187208
"149",2178.35416817895,283.966251061857
"150",2230.29612587428,278.333012173948
"151",2323.33395316259,277.230977834556
"152",2416.3717804509,279.530075360361
"153",2376.06764931266,265.239830444938
"154",2128.11872994655,227.083468853417
"155",2043.14220666131,217.107403948502
