x,y,Mean
95.75,27.5,1322.365026
96,27.5,1285.006274
96.25,27.5,1247.647522
96.5,27.5,1109.988768
96.75,27.5,972.3300148
97,27.5,994.4450188
88.25,27.75,993.46502
88.5,27.75,1071.662521
88.75,27.75,1149.860022
91.75,27.75,1210.650024
92,27.75,1109.672521
92.25,27.75,1008.695018
92.5,27.75,1073.170015
92.75,27.75,1137.645012
93,27.75,1188.945016
93.25,27.75,1240.245021
93.5,27.75,1260.875022
93.75,27.75,1281.505024
94,27.75,1286.842521
94.25,27.75,1292.180019
94.5,27.75,1316.50752
94.75,27.75,1340.83502
95,27.75,1347.635022
95.25,27.75,1354.435023
95.5,27.75,1329.132525
95.75,27.75,1303.830028
96,27.75,1260.572525
96.25,27.75,1217.315022
96.5,27.75,1033.107518
96.75,27.75,848.9000145
97,27.75,903.9175183
97.25,27.75,958.9350222
88.25,28,999.8775187
88.5,28,1022.055019
88.75,28,1044.232518
92.75,28,952.9550127
93,28,1029.990016
93.25,28,1107.025019
93.5,28,1131.822519
93.75,28,1156.62002
94,28,1167.476268
94.25,28,1178.332516
94.5,28,1217.117518
94.75,28,1255.90252
95,28,1241.887522
95.25,28,1227.872523
95.5,28,1214.393772
95.75,28,1200.91502
96,28,1131.62127
96.25,28,1062.327519
96.5,28,936.8625171
96.75,28,811.3975151
97,28,813.6362659
97.25,28,815.8750167
92.75,28.25,768.2650139
93,28.25,871.0350153
93.25,28.25,973.8050167
93.5,28.25,1002.770017
93.75,28.25,1031.735017
94,28.25,1048.110015
94.25,28.25,1064.485013
94.5,28.25,1117.727516
94.75,28.25,1170.97002
95,28.25,1136.140022
95.25,28.25,1101.310023
95.5,28.25,1099.655018
95.75,28.25,1098.000012
96,28.25,1002.670014
96.25,28.25,907.3400167
96.5,28.25,840.6175162
96.75,28.25,773.8950157
97,28.25,723.3550135
97.25,28.25,672.8150112
93.25,28.5,823.9025156
93.5,28.5,846.913766
93.75,28.5,869.9250163
94,28.5,895.7550144
94.25,28.5,921.5850125
94.5,28.5,999.9275157
94.75,28.5,1078.270019
95,28.5,1027.948768
95.25,28.5,977.6275176
95.5,28.5,969.1287661
95.75,28.5,960.6300146
96,28.5,885.1437649
96.25,28.5,809.6575151
96.5,28.5,757.0312647
96.75,28.5,704.4050143
93.75,28.75,708.115016
94,28.75,743.4000141
94.25,28.75,778.6850122
94.5,28.75,882.1275153
94.75,28.75,985.5700184
95,28.75,919.757515
95.25,28.75,853.9450117
95.5,28.75,838.6025145
95.75,28.75,823.2600172
