x,y,M1920,M1990,Mean,,,
95,26.5,1328.74002,1267.702907,61.037113,,,
95.25,26.5,1257.330018,1207.359636,49.970382,,,
88.25,26.75,2026.570032,1793.746191,232.823841,,,
88.5,26.75,2116.185035,1894.278878,221.906157,,,
88.75,26.75,2205.800039,1994.811566,210.988473,,,
89,26.75,2203.352538,2014.753877,188.598661,,,
89.25,26.75,2200.905036,2034.696189,166.208847,,,
89.5,26.75,2148.927539,1996.094269,152.83327,,,
89.75,26.75,2096.950043,1957.49235,139.457693,,,
90,26.75,2026.987541,1897.715423,129.272118,,,
90.25,26.75,1957.025039,1837.938497,119.086542,,,
90.5,26.75,1915.527539,1806.294266,109.233273,,,
90.75,26.75,1874.030038,1774.650035,99.380003,,,
91,26.75,1811.995037,1718.544261,93.450776,,,
91.25,26.75,1749.960036,1662.438486,87.52155,,,
91.5,26.75,1705.23003,1621.438488,83.791542,,,
91.75,26.75,1660.500024,1580.43849,80.061534,,,
92,26.75,1595.365022,1517.528872,77.83615,,,
92.25,26.75,1530.230019,1454.619253,75.610766,,,
92.5,26.75,1491.300025,1415.001947,76.298078,,,
92.75,26.75,1452.370031,1375.38464,76.985391,,,
93,26.75,1442.617526,1364.586561,78.030965,,,
93.25,26.75,1432.865022,1353.788483,79.076539,,,
93.5,26.75,1430.270021,1349.896177,80.373844,,,
93.75,26.75,1427.675021,1346.00387,81.671151,,,
94,26.75,1435.230021,1352.917332,82.312689,,,
94.25,26.75,1442.78502,1359.830794,82.954226,,,
94.5,26.75,1440.825022,1359.690409,81.134613,,,
94.75,26.75,1438.865023,1359.550024,79.314999,,,
95,26.75,1350.007521,1282.500022,67.507499,,,
95.25,26.75,1261.150019,1205.450019,55.7,,,
95.5,26.75,1250.62002,1203.121175,47.498845,,,
88,27,1895.647534,1663.833685,231.813849,,,
88.25,27,1925.350035,1708.423111,216.926924,,,
88.5,27,1983.083785,1777.798108,205.285677,,,
88.75,27,2040.817535,1847.173105,193.64443,,,
89,27,1973.866285,1807.494261,166.372024,,,
92,27,1535.206275,1472.33464,62.871635,,,
92.25,27,1468.320022,1406.907714,61.412308,,,
92.5,27,1456.720025,1393.102906,63.617119,,,
92.75,27,1445.120029,1379.298098,65.821931,,,
93,27,1424.741277,1356.810597,67.93068,,,
93.25,27,1404.362526,1334.323097,70.039429,,,
93.5,27,1402.263775,1329.939444,72.324331,,,
93.75,27,1400.165025,1325.555791,74.609234,,,
94,27,1418.081276,1340.462522,77.618754,,,
94.25,27,1435.997526,1355.369254,80.628272,,,
94.5,27,1442.065025,1360.851947,81.213078,,,
94.75,27,1448.132523,1366.33464,81.797883,,,
95,27,1394.412521,1321.300985,73.111536,,,
95.25,27,1340.69252,1276.26733,64.42519,,,
95.5,27,1315.593771,1259.194252,56.399519,,,
95.75,27,1290.495023,1242.121175,48.373848,,,
96,27,1295.605023,1250.852906,44.752117,,,
88,27.25,1877.587544,1649.780797,227.806747,,,
88.25,27.25,1824.130039,1623.100031,201.030008,,,
88.5,27.25,1849.982535,1661.317337,188.665198,,,
88.75,27.25,1875.835031,1699.534643,176.300388,,,
92,27.25,1475.047528,1427.140408,47.90712,,,
92.25,27.25,1406.410024,1359.196175,47.213849,,,
92.5,27.25,1422.140025,1371.203865,50.93616,,,
92.75,27.25,1437.870027,1383.211556,54.658471,,,
93,27.25,1406.865028,1349.034633,57.830395,,,
93.25,27.25,1375.86003,1314.857711,61.002319,,,
93.5,27.25,1374.257529,1309.982711,64.274818,,,
93.75,27.25,1372.655029,1305.107712,67.547317,,,
94,27.25,1400.932531,1328.007713,72.924818,,,
94.25,27.25,1429.210032,1350.907713,78.302319,,,
94.5,27.25,1443.305027,1362.013484,81.291543,,,
94.75,27.25,1457.400023,1373.119255,84.280768,,,
95,27.25,1438.817521,1360.101948,78.715573,,,
95.25,27.25,1420.23502,1347.084641,73.150379,,,
95.5,27.25,1380.567522,1315.267329,65.300193,,,
95.75,27.25,1340.900025,1283.450018,57.450007,,,
96,27.25,1309.440024,1257.728866,51.711158,,,
96.25,27.25,1277.980022,1232.007714,45.972308,,,
96.5,27.25,1186.870019,1148.592327,38.277692,,,
96.75,27.25,1095.760015,1065.176939,30.583076,,,
97,27.25,1084.972519,1058.163478,26.809041,,,
88,27.5,1467.151283,1293.70579,173.445493,,,
88.25,27.5,1408.79753,1257.234639,151.562891,,,
88.5,27.5,1460.822528,1317.293292,143.529236,,,
88.75,27.5,1512.847526,1377.351945,135.495581,,,
91.75,27.5,1377.167528,1344.1231,33.044428,,,
92,27.5,1292.360024,1260.379828,31.980196,,,
92.25,27.5,1207.552521,1176.636556,30.915965,,,
92.5,27.5,1247.65502,1212.981748,34.673272,,,
92.75,27.5,1287.757519,1249.32694,38.430579,,,
93,27.5,1297.905022,1254.505788,43.399234,,,
93.25,27.5,1308.052525,1259.684636,48.367889,,,
93.5,27.5,1317.566276,1263.556751,54.009525,,,
93.75,27.5,1327.080026,1267.428866,59.65116,,,
94,27.5,1343.887526,1278.800981,65.086545,,,
94.25,27.5,1360.695025,1290.173095,70.52193,,,
94.5,27.5,1379.906273,1305.532714,74.373559,,,
94.75,27.5,1399.117522,1320.892334,78.225188,,,
95,27.5,1393.226272,1318.261564,74.964708,,,
95.25,27.5,1387.335021,1315.630795,71.704226,,,
95.5,27.5,1354.850024,1289.333678,65.516346,,,
95.75,27.5,1322.365026,1263.036561,59.328465,,,
96,27.5,1285.006274,1231.976945,53.029329,,,
96.25,27.5,1247.647522,1200.917329,46.730193,,,
96.5,27.5,1109.988768,1071.715403,38.273365,,,
96.75,27.5,972.3300148,942.5134764,29.8165384,,,
97,27.5,994.4450188,967.7548249,26.6901939,,,
88.25,27.75,993.46502,891.3692466,102.0957734,,,
88.5,27.75,1071.662521,973.2692471,98.3932739,,,
88.75,27.75,1149.860022,1055.169248,94.690774,,,
91.75,27.75,1210.650024,1193.161558,17.488466,,,
92,27.75,1109.672521,1093.619247,16.053274,,,
92.25,27.75,1008.695018,994.0769366,14.6180814,,,
92.5,27.75,1073.170015,1054.75963,18.410385,,,
92.75,27.75,1137.645012,1115.442324,22.202688,,,
93,27.75,1188.945016,1159.976943,28.968073,,,
93.25,27.75,1240.245021,1204.511561,35.73346,,,
93.5,27.75,1260.875022,1217.130791,43.744231,,,
93.75,27.75,1281.505024,1229.750021,51.755003,,,
94,27.75,1286.842521,1229.594249,57.248272,,,
94.25,27.75,1292.180019,1229.438476,62.741543,,,
94.5,27.75,1316.50752,1249.051944,67.455576,,,
94.75,27.75,1340.83502,1268.665413,72.169607,,,
95,27.75,1347.635022,1276.421181,71.213841,,,
95.25,27.75,1354.435023,1284.176949,70.258074,,,
95.5,27.75,1329.132525,1263.400026,65.732499,,,
95.75,27.75,1303.830028,1242.623104,61.206924,,,
96,27.75,1260.572525,1206.225024,54.347501,,,
96.25,27.75,1217.315022,1169.826944,47.488078,,,
96.5,27.75,1033.107518,994.838479,38.269039,,,
96.75,27.75,848.9000145,819.8500134,29.0500011,,,
97,27.75,903.9175183,877.3461723,26.571346,,,
97.25,27.75,958.9350222,934.8423312,24.092691,,,
88.25,28,999.8775187,904.2730924,95.6044263,,,
88.5,28,1022.055019,934.2625157,87.7925033,,,
88.75,28,1044.232518,964.251939,79.980579,,,
92.75,28,952.9550127,939.7057833,13.2492294,,,
93,28,1029.990016,1010.711555,19.278461,,,
93.25,28,1107.025019,1081.717327,25.307692,,,
93.5,28,1131.822519,1098.580789,33.24173,,,
93.75,28,1156.62002,1115.44425,41.17577,,,
94,28,1167.476268,1120.366366,47.109902,,,
94.25,28,1178.332516,1125.288481,53.044035,,,
94.5,28,1217.117518,1158.82406,58.293458,,,
94.75,28,1255.90252,1192.35964,63.54288,,,
95,28,1241.887522,1179.231754,62.655768,,,
95.25,28,1227.872523,1166.103868,61.768655,,,
95.5,28,1214.393772,1155.550983,58.842789,,,
95.75,28,1200.91502,1144.998099,55.916921,,,
96,28,1131.62127,1082.04425,49.57702,,,
96.25,28,1062.327519,1019.090401,43.237118,,,
96.5,28,936.8625171,900.7836682,36.0788489,,,
96.75,28,811.3975151,782.4769355,28.9205796,,,
97,28,813.6362659,787.9634765,25.6727894,,,
97.25,28,815.8750167,793.4500175,22.4249992,,,
92.75,28.25,768.2650139,763.9692424,4.2957715,,,
93,28.25,871.0350153,861.4461676,9.5888477,,,
93.25,28.25,973.8050167,958.9230928,14.8819239,,,
93.5,28.25,1002.770017,980.0307861,22.7392309,,,
93.75,28.25,1031.735017,1001.138479,30.596538,,,
94,28.25,1048.110015,1011.138483,36.971532,,,
94.25,28.25,1064.485013,1021.138486,43.346527,,,
94.5,28.25,1117.727516,1068.596176,49.13134,,,
94.75,28.25,1170.97002,1116.053866,54.916154,,,
95,28.25,1136.140022,1082.042326,54.097696,,,
95.25,28.25,1101.310023,1048.030786,53.279237,,,
95.5,28.25,1099.655018,1047.70194,51.953078,,,
95.75,28.25,1098.000012,1047.373094,50.626918,,,
96,28.25,1002.670014,957.8634755,44.8065385,,,
96.25,28.25,907.3400167,868.3538575,38.9861592,,,
96.5,28.25,840.6175162,806.7288575,33.8886587,,,
96.75,28.25,773.8950157,745.1038575,28.7911582,,,
97,28.25,723.3550135,698.5807806,24.7742329,,,
97.25,28.25,672.8150112,652.0577038,20.7573074,,,
93.25,28.5,823.9025156,813.1134751,10.7890405,,,
93.5,28.5,846.913766,829.9702067,16.9435593,,,
93.75,28.5,869.9250163,846.8269383,23.098078,,,
94,28.5,895.7550144,867.6461701,28.1088443,,,
94.25,28.5,921.5850125,888.465402,33.1196105,,,
94.5,28.5,999.9275157,959.8644408,40.0630749,,,
94.75,28.5,1078.270019,1031.26348,47.006539,,,
95,28.5,1027.948768,981.0009784,46.9477896,,,
95.25,28.5,977.6275176,930.7384773,46.8890403,,,
95.5,28.5,969.1287661,922.6567459,46.4720202,,,
95.75,28.5,960.6300146,914.5750146,46.055,,,
96,28.5,885.1437649,844.129821,41.0139439,,,
96.25,28.5,809.6575151,773.6846274,35.9728877,,,
96.5,28.5,757.0312647,724.6798194,32.3514453,,,
96.75,28.5,704.4050143,675.6750114,28.7300029,,,
93.75,28.75,708.115016,692.5153971,15.5996189,,,
94,28.75,743.4000141,724.1538575,19.2461566,,,
94.25,28.75,778.6850122,755.7923179,22.8926943,,,
94.5,28.75,882.1275153,851.1327052,30.9948101,,,
94.75,28.75,985.5700184,946.4730926,39.0969258,,,
95,28.75,919.757515,879.9596305,39.7978845,,,
95.25,28.75,853.9450117,813.4461685,40.4988432,,,
95.5,28.75,838.6025145,797.611552,40.9909625,,,
95.75,28.75,823.2600172,781.7769356,41.4830816,,,
96,28.75,767.6175154,730.3961664,37.221349,,,
96.25,28.75,711.9750135,679.0153973,32.9596162,,,
96.5,28.75,673.4450132,642.6307813,30.8142319,,,
94.25,29,700.7300123,681.3307785,19.3992338,,,
94.5,29,754.8675141,728.8077029,26.0598112,,,
94.75,29,809.0050159,776.2846273,32.7203886,,,
95,29,799.6412657,765.407705,34.2335607,,,
95.25,29,790.2775154,754.5307826,35.7467328,,,
95.5,29,766.953764,731.0028974,35.9508666,,,
95.75,29,743.6300125,707.4750121,36.1550004,,,
96,29,692.5050122,658.5221269,33.9828853,,,
96.25,29,641.3800119,609.5692417,31.8107702,,,
96.5,29,615.126262,584.8894338,30.2368282,,,
94.5,29.25,627.6075129,606.4827006,21.1248123,,,
94.75,29.25,632.4400134,606.0961621,26.3438513,,,
95,29.25,679.5250163,650.8557794,28.6692369,,,
95.25,29.25,726.6100191,695.6153968,30.9946223,,,
95.5,29.25,695.3050135,664.3942427,30.9107708,,,
95.75,29.25,664.0000078,633.1730887,30.8269191,,,
96,29.25,617.3925091,586.6480874,30.7444217,,,
96.25,29.25,570.7850103,540.1230862,30.6619241,,,
96.5,29.25,556.8075109,527.1480862,29.6594247,,,
96,29.5,563.1437584,534.3990484,28.74471,,,
