x,y,Mean
76.5,8.5,904.458
77.5,8.5,339.772
78.5,8.5,421.936
76.5,9.5,1055.362
77.5,9.5,579.956
78.5,9.5,179.561
79.5,9.5,331.771
76.5,10.5,1534.027
77.5,10.5,444.144
78.5,10.5,345.075
79.5,10.5,287.487
75.5,11.5,1646.942
76.5,11.5,1036.973
77.5,11.5,338.816
78.5,11.5,383.847
79.5,11.5,360.864
75.5,12.5,2291.175
76.5,12.5,775.838
77.5,12.5,431.698
78.5,12.5,453.903
79.5,12.5,438.549
80.5,12.5,396.356
74.5,13.5,2541.584
75.5,13.5,1051.141
76.5,13.5,395.034
77.5,13.5,463.886
78.5,13.5,411.523
79.5,13.5,416.856
80.5,13.5,426.398
74.5,14.5,1913.641
75.5,14.5,682.529
76.5,14.5,314.844
77.5,14.5,330.322
78.5,14.5,408.802
79.5,14.5,372.042
80.5,14.5,502.182
73.5,15.5,2355
74.5,15.5,1333.636
75.5,15.5,443.812
76.5,15.5,322.404
77.5,15.5,384.803
78.5,15.5,439.424
79.5,15.5,399.978
80.5,15.5,585.099
73.5,16.5,2020.997
74.5,16.5,833.731
75.5,16.5,460.509
76.5,16.5,472.037
77.5,16.5,619.423
78.5,16.5,579.062
79.5,16.5,557.431
80.5,16.5,660.454
81.5,16.5,725.594
82.5,16.5,751.36
73.5,17.5,1860.058
74.5,17.5,655.687
75.5,17.5,546.332
76.5,17.5,638.75
77.5,17.5,733.328
78.5,17.5,693.044
79.5,17.5,707.597
80.5,17.5,826.229
81.5,17.5,799.993
82.5,17.5,793.49
72.5,18.5,1792.056
73.5,18.5,1392.601
74.5,18.5,613.147
75.5,18.5,608.301
76.5,18.5,751.067
77.5,18.5,857.808
78.5,18.5,908.163
79.5,18.5,838.419
80.5,18.5,927.42
81.5,18.5,987.108
82.5,18.5,980.026
83.5,18.5,744.263
84.5,18.5,1066.3
72.5,19.5,2124.784
73.5,19.5,1340.844
74.5,19.5,596.584
75.5,19.5,633.523
76.5,19.5,741.249
77.5,19.5,802.918
78.5,19.5,927.791
79.5,19.5,928.167
80.5,19.5,1022.954
81.5,19.5,1080.635
82.5,19.5,1083.469
83.5,19.5,935.342
84.5,19.5,838.865
85.5,19.5,1034.531
70.5,20.5,930.214
71.5,20.5,1074.396
72.5,20.5,1530.938
73.5,20.5,1521.029
74.5,20.5,792.439
75.5,20.5,642.008
76.5,20.5,674.501
77.5,20.5,723.223
78.5,20.5,933.691
79.5,20.5,1083.005
80.5,20.5,1076.32
81.5,20.5,1039.246
82.5,20.5,1045.786
83.5,20.5,1021.834
84.5,20.5,1008.891
85.5,20.5,1046.96
86.5,20.5,1196.709
69.5,21.5,704.964
70.5,21.5,687.545
71.5,21.5,700.405
72.5,21.5,922.451
73.5,21.5,1193.055
74.5,21.5,803.246
75.5,21.5,660.921
76.5,21.5,745.972
77.5,21.5,843.231
78.5,21.5,962.217
79.5,21.5,1139.064
80.5,21.5,1202.406
81.5,21.5,1029.383
82.5,21.5,1087.635
83.5,21.5,1187.475
84.5,21.5,1109.283
85.5,21.5,976.3
86.5,21.5,1118.022
87.5,21.5,1358.603
88.5,21.5,1453.648
69.5,22.5,559.433
70.5,22.5,606.653
71.5,22.5,577.101
72.5,22.5,742.369
73.5,22.5,908.802
74.5,22.5,780.909
75.5,22.5,826.057
76.5,22.5,938.247
77.5,22.5,1067.702
78.5,22.5,1071.916
79.5,22.5,1134.394
80.5,22.5,1144.599
81.5,22.5,984.662
82.5,22.5,1039.545
83.5,22.5,1090.212
84.5,22.5,1024.062
85.5,22.5,949.017
86.5,22.5,1083.18
87.5,22.5,1182.293
88.5,22.5,1274.599
92.5,22.5,1957.061
68.5,23.5,279.563
69.5,23.5,312.796
70.5,23.5,416.785
71.5,23.5,503.827
72.5,23.5,717.791
73.5,23.5,857.333
74.5,23.5,912.121
75.5,23.5,886.994
76.5,23.5,809.988
77.5,23.5,998.501
78.5,23.5,1094.607
79.5,23.5,1082.849
80.5,23.5,1002.594
81.5,23.5,891.426
82.5,23.5,922.171
83.5,23.5,922.008
84.5,23.5,917.151
85.5,23.5,1000.85
86.5,23.5,1000.781
87.5,23.5,1034.795
88.5,23.5,1032.384
91.5,23.5,1624.764
92.5,23.5,1847.057
93.5,23.5,1758.096
68.5,24.5,180.734
69.5,24.5,239.371
70.5,24.5,290.604
71.5,24.5,393.94
72.5,24.5,564.321
73.5,24.5,608.537
74.5,24.5,752.7
75.5,24.5,789.918
76.5,24.5,762.868
77.5,24.5,906.566
78.5,24.5,985.572
79.5,24.5,992.197
80.5,24.5,944.171
81.5,24.5,881.427
82.5,24.5,830.506
83.5,24.5,797.727
84.5,24.5,805.048
85.5,24.5,843.418
86.5,24.5,887.789
87.5,24.5,977.669
88.5,24.5,1090.627
91.5,24.5,1919.703
92.5,24.5,1988.552
93.5,24.5,1424.052
94.5,24.5,1149.317
70.5,25.5,205.925
71.5,25.5,266.303
72.5,25.5,364.15
73.5,25.5,455.069
74.5,25.5,555.263
75.5,25.5,668.41
76.5,25.5,766.063
77.5,25.5,811.307
78.5,25.5,823.325
79.5,25.5,826.386
80.5,25.5,815.775
81.5,25.5,783.199
82.5,25.5,777.788
83.5,25.5,781.423
84.5,25.5,794.302
85.5,25.5,811.29
86.5,25.5,861.19
87.5,25.5,1098.648
88.5,25.5,1366.766
90.5,25.5,2042.185
91.5,25.5,2917.364
92.5,25.5,2180.12
93.5,25.5,1344.769
94.5,25.5,1279.499
70.5,26.5,158.002
71.5,26.5,195.688
72.5,26.5,261.47
73.5,26.5,350.53
74.5,26.5,469.636
75.5,26.5,568.609
76.5,26.5,667.579
77.5,26.5,690.452
78.5,26.5,690.296
79.5,26.5,708.939
80.5,26.5,723.813
81.5,26.5,780.265
82.5,26.5,900.56
83.5,26.5,1020.567
84.5,26.5,1096.806
85.5,26.5,1056.639
86.5,26.5,1061.878
87.5,26.5,1378.272
88.5,26.5,1828.441
89.5,26.5,1951.393
90.5,26.5,1773.817
91.5,26.5,1583.759
92.5,26.5,1408.938
93.5,26.5,1322.415
94.5,26.5,1313.19
95.5,26.5,1220.542
69.5,27.5,99.304
70.5,27.5,130.87
71.5,27.5,161.649
72.5,27.5,198.559
73.5,27.5,261.119
74.5,27.5,352.907
75.5,27.5,454.093
76.5,27.5,565.019
77.5,27.5,625.025
78.5,27.5,665.35
79.5,27.5,716.21
80.5,27.5,793.811
81.5,27.5,933.863
82.5,27.5,1131.431
83.5,27.5,1401.086
84.5,27.5,1675.861
88.5,27.5,1307.203
89.5,27.5,1276.885
90.5,27.5,1463.715
91.5,27.5,1392.953
92.5,27.5,1173.169
93.5,27.5,1227.812
94.5,27.5,1279.308
95.5,27.5,1273.868
96.5,27.5,1075.513
97.5,27.5,999.842
70.5,28.5,107.093
71.5,28.5,131.342
72.5,28.5,165.501
73.5,28.5,210.086
74.5,28.5,278.319
75.5,28.5,365.887
76.5,28.5,503.452
77.5,28.5,650.888
78.5,28.5,725.937
79.5,28.5,829.31
80.5,28.5,966.567
81.5,28.5,1014.977
88.5,28.5,872.332
91.5,28.5,786.261
92.5,28.5,709.161
93.5,28.5,817.904
94.5,28.5,960.205
95.5,28.5,917.619
96.5,28.5,731.929
97.5,28.5,612.046
72.5,29.5,159.328
73.5,29.5,205.151
74.5,29.5,268.298
75.5,29.5,369.057
76.5,29.5,525.595
77.5,29.5,670.796
78.5,29.5,744.522
79.5,29.5,773.26
80.5,29.5,754.594
94.5,29.5,573.384
95.5,29.5,613.357
96.5,29.5,500.099
73.5,30.5,270.787
74.5,30.5,345.072
75.5,30.5,461.688
76.5,30.5,595.282
77.5,30.5,684.828
78.5,30.5,640.617
79.5,30.5,457.629
80.5,30.5,316.634
74.5,31.5,498.221
75.5,31.5,595.845
76.5,31.5,662.992
77.5,31.5,573.796
78.5,31.5,476.347
79.5,31.5,293.495
74.5,32.5,618.975
75.5,32.5,622.011
76.5,32.5,442.471
77.5,32.5,265.953
78.5,32.5,190.488
79.5,32.5,151.353
73.5,33.5,652.434
74.5,33.5,498.905
75.5,33.5,397.021
76.5,33.5,225.542
77.5,33.5,143.997
78.5,33.5,101.243
79.5,33.5,86.531
73.5,34.5,461.071
74.5,34.5,308.846
75.5,34.5,183.064
76.5,34.5,125.099
77.5,34.5,67.717
78.5,34.5,26.947
79.5,34.5,7.276
73.5,35.5,201.603
74.5,35.5,144.996
75.5,35.5,91.275
76.5,35.5,30.764
77.5,35.5,5.64
78.5,35.5,1.563
79.5,35.5,0.785
80.5,35.5,0.801
72.5,36.5,107.312
73.5,36.5,88.657
74.5,36.5,59.162
75.5,36.5,19.769
78.5,36.5,2.488
79.5,36.5,12.305
