x,y,Mean
91.5,26.5,1623.21375
92.5,26.5,1507.70625
93.5,26.5,1421.305
94.5,26.5,1407.84625
95.5,26.5,1286.92625
69.5,27.5,95.6975
70.5,27.5,127.53875
71.5,27.5,166.96875
72.5,27.5,213.35625
73.5,27.5,273.80375
74.5,27.5,359.6875
75.5,27.5,437.2625
76.5,27.5,502.93125
77.5,27.5,549.8675
78.5,27.5,629.0575
79.5,27.5,757.17625
80.5,27.5,939.415
81.5,27.5,1118.22
82.5,27.5,1354.10125
83.5,27.5,1651.635
84.5,27.5,1913.4375
88.5,27.5,1390.24
89.5,27.5,1292.3
90.5,27.5,1437.40625
91.5,27.5,1392.67625
92.5,27.5,1217.78625
93.5,27.5,1297.4275
94.5,27.5,1375.1325
95.5,27.5,1352.48
96.5,27.5,1096.27625
97.5,27.5,987.93875
70.5,28.5,100.64
71.5,28.5,127.79
72.5,28.5,169.48
73.5,28.5,224.28625
74.5,28.5,286.79125
75.5,28.5,351.8825
76.5,28.5,441.845
77.5,28.5,567.74875
78.5,28.5,743.6825
79.5,28.5,996.60625
80.5,28.5,1262.37125
81.5,28.5,1285.8975
88.5,28.5,865.46625
91.5,28.5,768.03375
92.5,28.5,715.7725
93.5,28.5,841.275
94.5,28.5,995.14
95.5,28.5,959.79125
96.5,28.5,743.8525
97.5,28.5,605.055
72.5,29.5,148.11875
73.5,29.5,193.9575
74.5,29.5,268.92125
75.5,29.5,351.52875
76.5,29.5,473.65625
77.5,29.5,728.80125
78.5,29.5,902.08125
79.5,29.5,1041.13
80.5,29.5,1013.22625
94.5,29.5,569.84
95.5,29.5,618.73625
96.5,29.5,504.46
73.5,30.5,226.30625
74.5,30.5,315.1775
75.5,30.5,434.6725
76.5,30.5,638.03875
77.5,30.5,911.31875
78.5,30.5,883.6325
79.5,30.5,629.02125
80.5,30.5,413.1125
74.5,31.5,408.23125
75.5,31.5,571.96
76.5,31.5,793.57125
77.5,31.5,764.72375
78.5,31.5,645.0175
79.5,31.5,399.4025
74.5,32.5,538.60125
75.5,32.5,613.06875
76.5,32.5,515.33375
77.5,32.5,324.82
78.5,32.5,241.18375
79.5,32.5,197.38125
73.5,33.5,532.52875
74.5,33.5,449.24375
75.5,33.5,390.56375
76.5,33.5,242.61875
77.5,33.5,160.7375
78.5,33.5,117.64625
79.5,33.5,104.21125
73.5,34.5,381.2225
74.5,34.5,277.1325
75.5,34.5,173.39125
76.5,34.5,125.2775
77.5,34.5,70.63625
78.5,34.5,29.04125
79.5,34.5,7.8
73.5,35.5,159.40625
74.5,35.5,118.18625
75.5,35.5,81.7825
76.5,35.5,29.2975
77.5,35.5,5.3675
78.5,35.5,1.45
79.5,35.5,0.72875
80.5,35.5,0.73625
72.5,36.5,87.38125
73.5,36.5,73.5525
74.5,36.5,49.27125
75.5,36.5,17.00125
78.5,36.5,2.18375
79.5,36.5,11.14875
