x,y,M1970,M2014,Mean,,,
85.5,20.5,1366.915357,1368.305114,-1.389756636,,,
86.5,20.5,1586.529286,1589.217045,-2.687759455,,,
69.5,21.5,589.3778571,689.8875,-100.5096429,,,
70.5,21.5,561.2953571,680.0465909,-118.7512338,,,
71.5,21.5,653.0985714,690.90625,-37.8076786,,,
72.5,21.5,846.5871429,920.0982955,-73.51115255,,,
73.5,21.5,1167.036429,1209.822159,-42.78573009,,,
74.5,21.5,831.0142857,835.2164773,-4.202191573,,,
75.5,21.5,708.775,716.0744318,-7.299431818,,,
76.5,21.5,845.8825,846.9835227,-1.101022727,,,
77.5,21.5,959.1764286,975.1664773,-15.99004867,,,
78.5,21.5,1116.994286,1094.676705,22.31758145,,,
79.5,21.5,1326.938571,1246.828409,80.11016191,,,
80.5,21.5,1426.505,1315.765341,110.7396591,,,
81.5,21.5,1273.994286,1165.273295,108.7209905,,,
82.5,21.5,1377.950714,1250.903409,127.0473049,,,
83.5,21.5,1486.121071,1358.55625,127.564821,,,
84.5,21.5,1394.382143,1323.382955,70.99918845,,,
85.5,21.5,1308.4525,1281.936364,26.51613636,,,
86.5,21.5,1506.301786,1513.752273,-7.450486727,,,
87.5,21.5,1699.264643,1797.223864,-97.95922064,,,
88.5,21.5,1826.240714,1920.559091,-94.31837691,,,
69.5,22.5,490.6971429,541.4852273,-50.78808437,,,
70.5,22.5,532.0453571,604.2778409,-72.23248381,,,
71.5,22.5,531.6046429,570.7857955,-39.18115255,,,
72.5,22.5,710.6771429,716.7414773,-6.064334373,,,
73.5,22.5,934.8121429,907.8659091,26.94623381,,,
74.5,22.5,836.9485714,804.3829545,32.56561685,,,
75.5,22.5,882.5164286,891.8977273,-9.381298673,,,
76.5,22.5,1009.561429,1026.352273,-16.79084373,,,
77.5,22.5,1164.585714,1177.061364,-12.47564964,,,
78.5,22.5,1162.436786,1183.680114,-21.24332764,,,
79.5,22.5,1294.276786,1238.89375,55.383036,,,
80.5,22.5,1381.160714,1277.830682,103.3300322,,,
81.5,22.5,1247.121071,1130.832386,116.2886846,,,
82.5,22.5,1346.660357,1211.567045,135.0933115,,,
83.5,22.5,1444.020357,1298.159091,145.8612661,,,
84.5,22.5,1358.7375,1258.70625,100.03125,,,
85.5,22.5,1294.235714,1224.432386,69.80332764,,,
86.5,22.5,1471.992143,1405.309659,66.68248391,,,
87.5,22.5,1493.912143,1549.5875,-55.675357,,,
88.5,22.5,1567.860357,1703.207386,-135.3470294,,,
92.5,22.5,2841.917143,2807.851136,34.06600664,,,
68.5,23.5,310.5425,295.2022727,15.34022727,,,
69.5,23.5,298.1025,314.6130682,-16.51056818,,,
70.5,23.5,396.2864286,418.4505682,-22.16413958,,,
71.5,23.5,501.7671429,502.9471591,-1.180016191,,,
72.5,23.5,726.3657143,722.0090909,4.356623391,,,
73.5,23.5,906.9471429,855.04375,51.9033929,,,
74.5,23.5,982.4646429,925.8045455,56.66009745,,,
75.5,23.5,978.2371429,924.88125,53.3558929,,,
76.5,23.5,904.6403571,866.0670455,38.57331165,,,
77.5,23.5,1103.602857,1075.819318,27.78353882,,,
78.5,23.5,1221.085357,1192.1375,28.947857,,,
79.5,23.5,1244.277857,1183.208523,61.06933427,,,
80.5,23.5,1203.852143,1118.310227,85.54191573,,,
81.5,23.5,1127.019643,1026.790341,100.2293021,,,
82.5,23.5,1221.505357,1095.638636,125.8667206,,,
83.5,23.5,1279.011071,1139.740909,139.2701619,,,
84.5,23.5,1284.442143,1166.628977,117.8131657,,,
85.5,23.5,1387.394286,1274.502273,112.8920133,,,
86.5,23.5,1383.266071,1272.136364,111.1297074,,,
87.5,23.5,1412.096786,1357.796591,54.30019509,,,
88.5,23.5,1423.877143,1431.66875,-7.791607,,,
91.5,23.5,2640.341786,2492.781818,147.5599678,,,
92.5,23.5,2926.174286,2854.332386,71.84189964,,,
93.5,23.5,2676.55,2605.851705,70.69829545,,,
68.5,24.5,218.9139286,202.7255682,16.18836042,,,
69.5,24.5,246.6675,246.7573864,-0.089886364,,,
70.5,24.5,295.2182143,299.2448864,-4.026672064,,,
71.5,24.5,398.5042857,411.8443182,-13.34003248,,,
72.5,24.5,599.0842857,592.6278409,6.456444791,,,
73.5,24.5,681.2807143,637.6585227,43.62219157,,,
74.5,24.5,836.5010714,785.925,50.5760714,,,
75.5,24.5,880.3032143,828.2164773,52.08673703,,,
76.5,24.5,858.8514286,807.2039773,51.64745133,,,
77.5,24.5,1034.132143,973.5642045,60.56793845,,,
78.5,24.5,1130.141786,1076.046591,54.09519509,,,
79.5,24.5,1169.784286,1098.961364,70.82292236,,,
80.5,24.5,1149.066071,1059.055682,90.01038918,,,
81.5,24.5,1104.984643,1007.263636,97.72100664,,,
82.5,24.5,1095.083929,983.9772727,111.1066563,,,
83.5,24.5,1095.236071,982.4477273,112.7883437,,,
84.5,24.5,1128.926786,1022.334091,106.5926951,,,
85.5,24.5,1188.052143,1078.721591,109.3305521,,,
86.5,24.5,1264.386429,1138.519886,125.8665426,,,
87.5,24.5,1415.732143,1287.952273,127.7798703,,,
88.5,24.5,1573.695357,1506.944886,66.75047064,,,
