x,y,M1920,M1990,Mean,,,
82.5,21.5,1204.52,1087.635,116.885,,,
83.5,21.5,1290.385,1187.475,102.91,,,
84.5,21.5,1145.80625,1109.283,36.52325,,,
85.5,21.5,983.56125,976.3,7.26125,,,
86.5,21.5,1098.89875,1118.022,-19.12325,,,
87.5,21.5,1261.28,1358.603,-97.323,,,
88.5,21.5,1364.1625,1453.648,-89.4855,,,
69.5,22.5,448.6375,559.433,-110.7955,,,
70.5,22.5,487.6475,606.653,-119.0055,,,
71.5,22.5,484.54125,577.101,-92.55975,,,
72.5,22.5,630.34875,742.369,-112.02025,,,
73.5,22.5,853.65375,908.802,-55.14825,,,
74.5,22.5,728.28625,780.909,-52.62275,,,
75.5,22.5,722.92625,826.057,-103.13075,,,
76.5,22.5,813.855,938.247,-124.392,,,
77.5,22.5,932.615,1067.702,-135.087,,,
78.5,22.5,924.13125,1071.916,-147.78475,,,
79.5,22.5,1047.60125,1134.394,-86.79275,,,
80.5,22.5,1149.31625,1144.599,4.71725,,,
81.5,22.5,1075.875,984.662,91.213,,,
82.5,22.5,1178.4375,1039.545,138.8925,,,
83.5,22.5,1234.19875,1090.212,143.98675,,,
84.5,22.5,1108.64375,1024.062,84.58175,,,
85.5,22.5,1010.26125,949.017,61.24425,,,
86.5,22.5,1146.61375,1083.18,63.43375,,,
87.5,22.5,1143.6775,1182.293,-38.6155,,,
88.5,22.5,1174.72375,1274.599,-99.87525,,,
92.5,22.5,2077.3425,1957.061,120.2815,,,
68.5,23.5,258.83875,279.563,-20.72425,,,
69.5,23.5,286.02625,312.796,-26.76975,,,
70.5,23.5,383.7075,416.785,-33.0775,,,
71.5,23.5,456.7225,503.827,-47.1045,,,
72.5,23.5,641.45875,717.791,-76.33225,,,
73.5,23.5,801.67,857.333,-55.663,,,
74.5,23.5,853.96125,912.121,-58.15975,,,
75.5,23.5,834.0675,886.994,-52.9265,,,
76.5,23.5,744.55125,809.988,-65.43675,,,
77.5,23.5,882.345,998.501,-116.156,,,
78.5,23.5,956.64625,1094.607,-137.96075,,,
79.5,23.5,998.8925,1082.849,-83.9565,,,
80.5,23.5,991.3375,1002.594,-11.2565,,,
81.5,23.5,930.66625,891.426,39.24025,,,
82.5,23.5,1020.9875,922.171,98.8165,,,
83.5,23.5,1066.9125,922.008,144.9045,,,
84.5,23.5,1038.19,917.151,121.039,,,
85.5,23.5,1117.59,1000.85,116.74,,,
86.5,23.5,1120.55875,1000.781,119.77775,,,
87.5,23.5,1109.89875,1034.795,75.10375,,,
88.5,23.5,1049.3675,1032.384,16.9835,,,
91.5,23.5,1708.68,1624.764,83.916,,,
92.5,23.5,1940.695,1847.057,93.638,,,
93.5,23.5,1867.45875,1758.096,109.36275,,,
68.5,24.5,182.065,180.734,1.331,,,
69.5,24.5,226.69375,239.371,-12.67725,,,
70.5,24.5,274.2675,290.604,-16.3365,,,
71.5,24.5,371.0275,393.94,-22.9125,,,
72.5,24.5,532.23375,564.321,-32.08725,,,
73.5,24.5,576.2575,608.537,-32.2795,,,
74.5,24.5,712.79625,752.7,-39.90375,,,
75.5,24.5,749.90625,789.918,-40.01175,,,
76.5,24.5,715.82375,762.868,-47.04425,,,
77.5,24.5,831.9825,906.566,-74.5835,,,
78.5,24.5,882.7725,985.572,-102.7995,,,
79.5,24.5,929.15,992.197,-63.047,,,
80.5,24.5,939.93375,944.171,-4.23725,,,
81.5,24.5,922.4725,881.427,41.0455,,,
82.5,24.5,910.12125,830.506,79.61525,,,
83.5,24.5,919.1825,797.727,121.4555,,,
84.5,24.5,977.555,805.048,172.507,,,
85.5,24.5,1018.9925,843.418,175.5745,,,
86.5,24.5,1067.55,887.789,179.761,,,
87.5,24.5,1146.5925,977.669,168.9235,,,
88.5,24.5,1200.37375,1090.627,109.74675,,,
91.5,24.5,1991.54125,1919.703,71.83825,,,
92.5,24.5,2091.16625,1988.552,102.61425,,,
93.5,24.5,1512.9775,1424.052,88.9255,,,
94.5,24.5,1222.1425,1149.317,72.8255,,,
70.5,25.5,194.19,205.925,-11.735,,,
71.5,25.5,248.8875,266.303,-17.4155,,,
72.5,25.5,338.5975,364.15,-25.5525,,,
73.5,25.5,426.0375,455.069,-29.0315,,,
74.5,25.5,523.195,555.263,-32.068,,,
75.5,25.5,632.585,668.41,-35.825,,,
76.5,25.5,727.85375,766.063,-38.20925,,,
77.5,25.5,758.855,811.307,-52.452,,,
78.5,25.5,749.78375,823.325,-73.54125,,,
79.5,25.5,790.7825,826.386,-35.6035,,,
80.5,25.5,822.94125,815.775,7.16625,,,
81.5,25.5,835.93125,783.199,52.73225,,,
82.5,25.5,869.84,777.788,92.052,,,
83.5,25.5,939.06375,781.423,157.64075,,,
84.5,25.5,1012.555,794.302,218.253,,,
85.5,25.5,1068.56125,811.29,257.27125,,,
86.5,25.5,1121.23125,861.19,260.04125,,,
87.5,25.5,1337.2525,1098.648,238.6045,,,
88.5,25.5,1556.50625,1366.766,189.74025,,,
90.5,25.5,2145.0575,2042.185,102.8725,,,
91.5,25.5,3010.80625,2917.364,93.44225,,,
92.5,25.5,2294.65,2180.12,114.53,,,
93.5,25.5,1424.475,1344.769,79.706,,,
94.5,25.5,1349.84875,1279.499,70.34975,,,
70.5,26.5,156.59375,158.002,-1.40825,,,
71.5,26.5,195.3525,195.688,-0.3355,,,
72.5,26.5,250.91375,261.47,-10.55625,,,
73.5,26.5,327.62125,350.53,-22.90875,,,
74.5,26.5,435.55,469.636,-34.086,,,
75.5,26.5,532.29625,568.609,-36.31275,,,
76.5,26.5,620.61,667.579,-46.969,,,
77.5,26.5,642.2275,690.452,-48.2245,,,
78.5,26.5,636.8775,690.296,-53.4185,,,
79.5,26.5,690.3575,708.939,-18.5815,,,
80.5,26.5,765.19,723.813,41.377,,,
81.5,26.5,883.27875,780.265,103.01375,,,
82.5,26.5,1019.76625,900.56,119.20625,,,
83.5,26.5,1181.3575,1020.567,160.7905,,,
84.5,26.5,1341.25,1096.806,244.444,,,
85.5,26.5,1363.61875,1056.639,306.97975,,,
86.5,26.5,1334.82,1061.878,272.942,,,
87.5,26.5,1618.50625,1378.272,240.23425,,,
88.5,26.5,2031.98875,1828.441,203.54775,,,
89.5,26.5,2079.93,1951.393,128.537,,,
90.5,26.5,1831.64875,1773.817,57.83175,,,
91.5,26.5,1623.21375,1583.759,39.45475,,,
92.5,26.5,1507.70625,1408.938,98.76825,,,
93.5,26.5,1421.305,1322.415,98.89,,,
94.5,26.5,1407.84625,1313.19,94.65625,,,
95.5,26.5,1286.92625,1220.542,66.38425,,,
69.5,27.5,95.6975,99.304,-3.6065,,,
70.5,27.5,127.53875,130.87,-3.33125,,,
71.5,27.5,166.96875,161.649,5.31975,,,
72.5,27.5,213.35625,198.559,14.79725,,,
73.5,27.5,273.80375,261.119,12.68475,,,
74.5,27.5,359.6875,352.907,6.7805,,,
75.5,27.5,437.2625,454.093,-16.8305,,,
76.5,27.5,502.93125,565.019,-62.08775,,,
77.5,27.5,549.8675,625.025,-75.1575,,,
78.5,27.5,629.0575,665.35,-36.2925,,,
79.5,27.5,757.17625,716.21,40.96625,,,
80.5,27.5,939.415,793.811,145.604,,,
81.5,27.5,1118.22,933.863,184.357,,,
82.5,27.5,1354.10125,1131.431,222.67025,,,
83.5,27.5,1651.635,1401.086,250.549,,,
84.5,27.5,1913.4375,1675.861,237.5765,,,
88.5,27.5,1390.24,1307.203,83.037,,,
89.5,27.5,1292.3,1276.885,15.415,,,
90.5,27.5,1437.40625,1463.715,-26.30875,,,
91.5,27.5,1392.67625,1392.953,-0.27675,,,
92.5,27.5,1217.78625,1173.169,44.61725,,,
93.5,27.5,1297.4275,1227.812,69.6155,,,
94.5,27.5,1375.1325,1279.308,95.8245,,,
95.5,27.5,1352.48,1273.868,78.612,,,
96.5,27.5,1096.27625,1075.513,20.76325,,,
97.5,27.5,987.93875,999.842,-11.90325,,,
70.5,28.5,100.64,107.093,-6.453,,,
71.5,28.5,127.79,131.342,-3.552,,,
72.5,28.5,169.48,165.501,3.979,,,
73.5,28.5,224.28625,210.086,14.20025,,,
74.5,28.5,286.79125,278.319,8.47225,,,
75.5,28.5,351.8825,365.887,-14.0045,,,
76.5,28.5,441.845,503.452,-61.607,,,
77.5,28.5,567.74875,650.888,-83.13925,,,
78.5,28.5,743.6825,725.937,17.7455,,,
79.5,28.5,996.60625,829.31,167.29625,,,
80.5,28.5,1262.37125,966.567,295.80425,,,
81.5,28.5,1285.8975,1014.977,270.9205,,,
88.5,28.5,865.46625,872.332,-6.86575,,,
91.5,28.5,768.03375,786.261,-18.22725,,,
92.5,28.5,715.7725,709.161,6.6115,,,
93.5,28.5,841.275,817.904,23.371,,,
94.5,28.5,995.14,960.205,34.935,,,
95.5,28.5,959.79125,917.619,42.17225,,,
96.5,28.5,743.8525,731.929,11.9235,,,
97.5,28.5,605.055,612.046,-6.991,,,
72.5,29.5,148.11875,159.328,-11.20925,,,
73.5,29.5,193.9575,205.151,-11.1935,,,
74.5,29.5,268.92125,268.298,0.62325,,,
75.5,29.5,351.52875,369.057,-17.52825,,,
76.5,29.5,473.65625,525.595,-51.93875,,,
77.5,29.5,728.80125,670.796,58.00525,,,
78.5,29.5,902.08125,744.522,157.55925,,,
79.5,29.5,1041.13,773.26,267.87,,,
80.5,29.5,1013.22625,754.594,258.63225,,,
